x_m,solid_temperature_C,water_bulk_temperature_C,heater_input_W_per_m,heat_to_water_W_per_m,heat_to_ambient_W_per_m
0.0020833333333333337,142.87736343178372,11.02474731602262,100000.0,102445.65343892752,58.02113444725618
0.002166666666666667,142.88355260387507,11.065589497214736,100000.0,102418.72905725401,58.024105249860035
0.0022500000000000003,142.88995243237866,11.106420977295496,100000.0,102391.97666394761,58.02717716754176
0.0023333333333333335,142.89656064217232,11.147241824477817,100000.0,102365.39443830507,58.03034910824271
0.002416666666666667,142.90337497261567,11.188052106251039,100000.0,102338.98057143716,58.03361998685552
0.0025000000000000005,142.91039317739632,11.228851889385563,100000.0,102312.73326614575,58.03698872515023
0.0025833333333333337,142.91761302437678,11.269641239937501,100000.0,102286.65073680117,58.04045425170085
0.002666666666666667,142.92503229544266,11.310420223253294,100000.0,102260.73120922064,58.044015501812474
0.0027500000000000003,142.9326487863514,11.351188903974226,100000.0,102234.97292054733,58.04767141744867
0.0028333333333333335,142.94046030658257,11.391947346040904,100000.0,102209.37411913047,58.05142094715963
0.0029166666666666672,142.9484646791886,11.432695612697763,100000.0,102183.93306440595,58.05526304601052
0.0030000000000000005,142.95665974064667,11.473433766497362,100000.0,102158.64802677785,58.0591966755104
0.0030833333333333338,142.96504334071156,11.514161869304848,100000.0,102133.51728750064,58.06322080354155
0.003166666666666667,142.97361334226935,11.55487998230215,100000.0,102108.53913856231,58.067334404289284
0.0032500000000000003,142.98236762119208,11.595588165992337,100000.0,102083.711882568,58.0715364581722
0.003333333333333334,142.99130406619327,11.63628648020374,100000.0,102059.0338326245,58.075825951772764
0.0034166666666666672,143.00042057868433,11.676974984094182,100000.0,102034.5033122256,58.080201877768474
0.0035000000000000005,143.00971507263193,11.717653736155057,100000.0,102010.11865513782,58.08466323486333
0.0035833333333333338,143.01918547441628,11.75832279421542,100000.0,101985.8782052873,58.08920902771981
0.003666666666666667,143.02882972268995,11.798982215446028,100000.0,101961.78031664697,58.093838266891176
0.0037500000000000003,143.038645768238,11.83963205636329,100000.0,101937.82335312471,58.09854996875424
0.003833333333333334,143.04863157383875,11.880272372833225,100000.0,101914.00568845215,58.103343155442595
0.003916666666666667,143.05878511412513,11.920903220075346,100000.0,101890.32570607394,58.10821685478006
0.004,143.06910437544744,11.961524652666542,100000.0,101866.78179903812,58.11317010021477
0.004083333333333334,143.0795873557363,12.00213672454486,100000.0,101843.37236988661,58.11820193075342
0.0041666666666666675,143.09023206436683,12.042739489013254,100000.0,101820.09583054684,58.12331139089608
0.00425,143.10103652202363,12.083332998743371,100000.0,101796.95060222391,58.128497530571344
0.004333333333333334,143.1119987605661,12.12391730577912,100000.0,101773.93511529309,58.13375940507173
0.004416666666666667,143.12311682289516,12.164492461540426,100000.0,101751.04780919345,58.13909607498967
0.0045000000000000005,143.13438876282024,12.205058516826725,100000.0,101728.28713232178,58.14450660615371
0.004583333333333334,143.14581264492733,12.245615521820575,100000.0,101705.65154192719,58.14999006956512
0.004666666666666667,143.15738654444763,12.28616352609114,100000.0,101683.13950400644,58.15554554133486
0.004750000000000001,143.1691085471271,12.32670257859769,100000.0,101660.7494931998,58.16117210262101
0.004833333333333334,143.18097674909654,12.367232727692969,100000.0,101638.4799926875,58.16686883956634
0.004916666666666667,143.1929892567425,12.407754021126614,100000.0,101616.32949408679,58.172634843236395
0.005000000000000001,143.205144186579,12.448266506048483,100000.0,101594.29649734974,58.17846920955791
0.005083333333333334,143.2174396651198,12.488770229012022,100000.0,101572.37951066124,58.1843710392575
0.0051666666666666675,143.22987382875144,12.529265235977416,100000.0,101550.57705033803,58.19033943780069
0.00525,143.24244482360697,12.569751572314907,100000.0,101528.887640728,58.196373515331345
0.005333333333333334,143.25515080544045,12.610229282807918,100000.0,101507.30981411017,58.20247238661141
0.005416666666666668,143.26798993950186,12.650698411656236,100000.0,101485.8421105951,58.20863517096089
0.0055000000000000005,143.28096040041302,12.69115900247909,100000.0,101464.48307802611,58.21486099219825
0.005583333333333334,143.29406037204402,12.73161109831822,100000.0,101443.23127188078,58.22114897858113
0.005666666666666667,143.30728804739007,12.772054741640899,100000.0,101422.0852551731,58.22749826274723
0.005750000000000001,143.3206416284495,12.812489974342917,100000.0,101401.04359835607,58.233907981655754
0.0058333333333333345,143.3341193261018,12.852916837751561,100000.0,101380.10487922504,58.24037727652887
0.005916666666666667,143.34771935998688,12.89333537262846,100000.0,101359.26768282123,58.2469052927937
0.006000000000000001,143.36143995838444,12.933745619172509,100000.0,101338.53060133608,58.253491180024525
0.006083333333333334,143.3752793580942,12.974147617022695,100000.0,101317.89223401582,58.260134091885206
0.0061666666666666675,143.3892358043167,13.014541405260838,100000.0,101297.35118706686,58.26683318607202
0.006250000000000001,143.40330755053478,13.054927022414434,100000.0,101276.90607356126,58.27358762425669
0.006333333333333334,143.41749285839538,13.095304506459296,100000.0,101256.55551334312,58.28039657202978
0.006416666666666668,143.43178999759215,13.13567389482229,100000.0,101236.29813293504,58.287259198844225
0.006500000000000001,143.44619724574864,13.176035224383916,100000.0,101216.13256544547,58.29417467795934
0.006583333333333334,143.46071288830177,13.216388531481014,100000.0,101196.05745047606,58.30114218638485
0.006666666666666668,143.4753352183864,13.256733851909223,100000.0,101176.07143402996,58.30816090482546
0.006750000000000001,143.4900625367197,13.297071220925613,100000.0,101156.17316842006,58.31523001762545
0.0068333333333333345,143.50489315148667,13.337400673251112,100000.0,101136.36131217805,58.3223487127136
0.006916666666666667,143.519825378226,13.377722243072995,100000.0,101116.63452996392,58.32951618154847
0.007000000000000001,143.5348575397163,13.418035964047302,100000.0,101096.99149247563,58.336731619063826
0.007083333333333334,143.54998796586315,13.458341869301254,100000.0,101077.43087635937,58.34399422361431
0.0071666666666666675,143.56521499358624,13.498639991435578,100000.0,101057.95136412025,58.35130319692139
0.007250000000000001,143.5805369667074,13.538930362526845,100000.0,101038.55164403333,58.35865774401955
0.007333333333333334,143.59595223583898,13.57921301412972,100000.0,101019.23041005532,58.36605707320271
0.007416666666666668,143.6114591582726,13.619487977279253,100000.0,100999.98636173613,58.373500395970844
0.007500000000000001,143.62705609786858,13.65975528249306,100000.0,100980.81820413144,58.38098692697692
0.007583333333333334,143.64274142494565,13.700014959773501,100000.0,100961.72464771531,58.38851588397391
0.007666666666666668,143.65851351617124,13.740267038609856,100000.0,100942.70440829314,58.39608648776219
0.007750000000000001,143.67437075445218,13.780511547980414,100000.0,100923.75620691522,58.403697962137045
0.007833333333333335,143.6903115288259,13.820748516354524,100000.0,100904.87876979055,58.41134953383643
